No,Province,City,id_city,jne,jnt,ninja,wahana,pos
191,JAWA TENGAH,KABUPATEN BANJARNEGARA,3304,30000,20000,0,0,0
192,JAWA TENGAH,KABUPATEN KEBUMEN,3305,30000,20000,0,0,0
193,JAWA TENGAH,KABUPATEN PURWOREJO,3306,30000,20000,0,0,0
194,JAWA TENGAH,KABUPATEN WONOSOBO,3307,30000,20000,0,0,0
195,JAWA TENGAH,KABUPATEN MAGELANG,3308,30000,20000,0,0,0
196,JAWA TENGAH,KABUPATEN BOYOLALI,3309,30000,20000,0,0,0
197,JAWA TENGAH,KABUPATEN KLATEN,3310,30000,20000,0,0,0
198,JAWA TENGAH,KABUPATEN SUKOHARJO,3311,30000,20000,0,0,0
199,JAWA TENGAH,KABUPATEN WONOGIRI,3312,30000,20000,0,0,0
200,JAWA TENGAH,KABUPATEN KARANGANYAR,3313,30000,20000,0,0,0
201,JAWA TENGAH,KABUPATEN SRAGEN,3314,30000,20000,0,0,0
202,JAWA TENGAH,KABUPATEN GROBOGAN,3315,30000,20000,0,0,0
203,JAWA TENGAH,KABUPATEN BLORA,3316,30000,20000,0,0,0
204,JAWA TENGAH,KABUPATEN REMBANG,3317,30000,20000,0,0,0
205,JAWA TENGAH,KABUPATEN PATI,3318,30000,20000,0,0,0
206,JAWA TENGAH,KABUPATEN KUDUS,3319,30000,20000,0,0,0
207,JAWA TENGAH,KABUPATEN JEPARA,3320,30000,20000,0,0,0
208,JAWA TENGAH,KABUPATEN DEMAK,3321,30000,20000,0,0,0
209,JAWA TENGAH,KABUPATEN SEMARANG,3322,30000,20000,0,0,0
210,JAWA TENGAH,KABUPATEN TEMANGGUNG,3323,30000,20000,0,0,0
211,JAWA TENGAH,KABUPATEN KENDAL,3324,30000,20000,0,0,0
212,JAWA TENGAH,KABUPATEN BATANG,3325,30000,20000,0,0,0
213,JAWA TENGAH,KABUPATEN PEKALONGAN,3326,30000,20000,0,0,0
214,JAWA TENGAH,KABUPATEN PEMALANG,3327,30000,20000,0,0,0
215,JAWA TENGAH,KABUPATEN TEGAL,3328,30000,20000,0,0,0
216,JAWA TENGAH,KABUPATEN BREBES,3329,30000,20000,0,0,0
217,JAWA TENGAH,KOTA MAGELANG,3371,30000,20000,0,0,0
218,JAWA TENGAH,KOTA SURAKARTA,3372,30000,20000,0,0,0
219,JAWA TENGAH,KOTA SALATIGA,3373,30000,20000,0,0,0
220,JAWA TENGAH,KOTA SEMARANG,3374,30000,20000,0,0,0
221,JAWA TENGAH,KOTA PEKALONGAN,3375,30000,20000,0,0,0
222,JAWA TENGAH,KOTA TEGAL,3376,30000,20000,0,0,0
223,DI YOGYAKARTA,KABUPATEN KULON PROGO,3401,30000,20000,0,0,0
224,DI YOGYAKARTA,KABUPATEN BANTUL,3402,30000,20000,0,0,0
225,DI YOGYAKARTA,KABUPATEN GUNUNG KIDUL,3403,30000,20000,0,0,0
226,DI YOGYAKARTA,KABUPATEN SLEMAN,3404,30000,20000,0,0,0
227,DI YOGYAKARTA,KOTA YOGYAKARTA,3471,30000,20000,0,0,0
228,JAWA TIMUR,KABUPATEN PACITAN,3501,30000,20000,0,0,0
229,JAWA TIMUR,KABUPATEN PONOROGO,3502,30000,20000,0,0,0
230,JAWA TIMUR,KABUPATEN TRENGGALEK,3503,30000,20000,0,0,0
231,JAWA TIMUR,KABUPATEN TULUNGAGUNG,3504,30000,20000,0,0,0
232,JAWA TIMUR,KABUPATEN BLITAR,3505,30000,20000,0,0,0
233,JAWA TIMUR,KABUPATEN KEDIRI,3506,30000,20000,0,0,0
234,JAWA TIMUR,KABUPATEN MALANG,3507,30000,20000,0,0,0
235,JAWA TIMUR,KABUPATEN LUMAJANG,3508,30000,20000,0,0,0
236,JAWA TIMUR,KABUPATEN JEMBER,3509,30000,20000,0,0,0
237,JAWA TIMUR,KABUPATEN BANYUWANGI,3510,30000,20000,0,0,0
238,JAWA TIMUR,KABUPATEN BONDOWOSO,3511,30000,20000,0,0,0
239,JAWA TIMUR,KABUPATEN SITUBONDO,3512,30000,20000,0,0,0
240,JAWA TIMUR,KABUPATEN PROBOLINGGO,3513,30000,20000,0,0,0
241,JAWA TIMUR,KABUPATEN PASURUAN,3514,30000,20000,0,0,0
242,JAWA TIMUR,KABUPATEN SIDOARJO,3515,30000,20000,0,0,0
243,JAWA TIMUR,KABUPATEN MOJOKERTO,3516,30000,20000,0,0,0
244,JAWA TIMUR,KABUPATEN JOMBANG,3517,30000,20000,0,0,0
245,JAWA TIMUR,KABUPATEN NGANJUK,3518,30000,20000,0,0,0
246,JAWA TIMUR,KABUPATEN MADIUN,3519,30000,20000,0,0,0
247,JAWA TIMUR,KABUPATEN MAGETAN,3520,30000,20000,0,0,0
248,JAWA TIMUR,KABUPATEN NGAWI,3521,30000,20000,0,0,0
249,JAWA TIMUR,KABUPATEN BOJONEGORO,3522,30000,20000,0,0,0
250,JAWA TIMUR,KABUPATEN TUBAN,3523,30000,20000,0,0,0
251,JAWA TIMUR,KABUPATEN LAMONGAN,3524,30000,20000,0,0,0
252,JAWA TIMUR,KABUPATEN GRESIK,3525,30000,20000,0,0,0
253,JAWA TIMUR,KABUPATEN BANGKALAN,3526,30000,20000,0,0,0
254,JAWA TIMUR,KABUPATEN SAMPANG,3527,30000,20000,0,0,0
255,JAWA TIMUR,KABUPATEN PAMEKASAN,3528,30000,20000,0,0,0
256,JAWA TIMUR,KABUPATEN SUMENEP,3529,30000,20000,0,0,0
257,JAWA TIMUR,KOTA KEDIRI,3571,30000,20000,0,0,0
258,JAWA TIMUR,KOTA BLITAR,3572,30000,20000,0,0,0
259,JAWA TIMUR,KOTA MALANG,3573,30000,20000,0,0,0
260,JAWA TIMUR,KOTA PROBOLINGGO,3574,30000,20000,0,0,0
261,JAWA TIMUR,KOTA PASURUAN,3575,30000,20000,0,0,0
262,JAWA TIMUR,KOTA MOJOKERTO,3576,30000,20000,0,0,0
263,JAWA TIMUR,KOTA MADIUN,3577,30000,20000,0,0,0
264,JAWA TIMUR,KOTA SURABAYA,3578,30000,20000,0,0,0
265,JAWA TIMUR,KOTA BATU,3579,30000,20000,0,0,0
266,BANTEN,KABUPATEN PANDEGLANG,3601,30000,20000,0,0,0
267,BANTEN,KABUPATEN LEBAK,3602,30000,20000,0,0,0
268,BANTEN,KABUPATEN TANGERANG,3603,30000,20000,0,0,0
269,BANTEN,KABUPATEN SERANG,3604,30000,20000,0,0,0
270,BANTEN,KOTA TANGERANG,3671,30000,20000,0,0,0
271,BANTEN,KOTA CILEGON,3672,30000,20000,0,0,0
272,BANTEN,KOTA SERANG,3673,30000,20000,0,0,0
273,BANTEN,KOTA TANGERANG SELATAN,3674,30000,20000,0,0,0
274,BALI,KABUPATEN JEMBRANA,5101,30000,20000,0,0,0
275,BALI,KABUPATEN TABANAN,5102,30000,20000,0,0,0
276,BALI,KABUPATEN BADUNG,5103,30000,20000,0,0,0
277,BALI,KABUPATEN GIANYAR,5104,30000,20000,0,0,0
278,BALI,KABUPATEN KLUNGKUNG,5105,30000,20000,0,0,0
